epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2877,1.7176,4.10275,1.8902,0.00668,0.65278,0.03304,0.01143,1.64883,4.2429,2.05504,3.57e-05,3.57e-05,3.57e-05
2,26.8494,1.59042,3.98235,1.75582,0.00788,0.68796,0.08839,0.04031,1.32913,4.18345,1.78977,7.77625e-05,7.77625e-05,7.77625e-05
3,38.8301,1.36283,3.89054,1.60394,0.01151,0.78241,0.23173,0.10453,1.18739,4.07666,1.58098,0.000118977,0.000118977,0.000118977
4,50.9459,1.3335,3.69277,1.5497,0.01331,0.7963,0.33911,0.16027,1.17842,3.93507,1.45113,0.000159343,0.000159343,0.000159343
5,62.5244,1.31095,3.52805,1.48635,0.01493,0.7963,0.3721,0.22141,1.10374,3.81057,1.3485,0.00019886,0.00019886,0.00019886
6,74.2408,1.15594,3.26406,1.37516,0.01523,0.7963,0.34831,0.22975,1.06388,3.65215,1.27743,0.00023753,0.00023753,0.00023753
7,85.8428,1.15083,2.99524,1.33361,0.88889,0.1098,0.37686,0.23745,1.12314,3.33436,1.3103,0.000275351,0.000275351,0.000275351
8,97.5791,1.16875,2.65026,1.37916,0.84343,0.25553,0.41192,0.25102,1.17784,3.13502,1.38136,0.000312324,0.000312324,0.000312324
9,109.248,1.17777,2.35357,1.39091,0.83648,0.35648,0.57634,0.37814,1.16521,2.86415,1.42154,0.000348449,0.000348449,0.000348449
10,120.773,1.18455,2.24376,1.39302,0.86815,0.40477,0.73365,0.46837,1.30563,2.45031,1.48019,0.000383726,0.000383726,0.000383726
11,132.455,1.15853,1.93784,1.3239,0.64199,0.54385,0.74702,0.50208,1.27867,2.22216,1.41912,0.000418154,0.000418154,0.000418154
12,143.834,1.1469,1.73934,1.34097,0.645,0.61111,0.76499,0.53843,1.16238,2.04586,1.33058,0.000451734,0.000451734,0.000451734
13,155.232,1.12125,1.78935,1.31768,0.65529,0.63837,0.76495,0.52472,1.16092,1.94383,1.34443,0.000484466,0.000484466,0.000484466
14,169.038,1.14279,1.67641,1.33927,0.71945,0.67155,0.76968,0.51214,1.26209,2.04041,1.39089,0.00051635,0.00051635,0.00051635
15,181.027,1.08943,1.58891,1.27912,0.71945,0.67155,0.76968,0.51214,1.26209,2.04041,1.39089,0.000547385,0.000547385,0.000547385
16,192.389,1.11599,1.59589,1.32631,0.85597,0.6618,0.80723,0.54153,1.27565,2.05713,1.39102,0.000577572,0.000577572,0.000577572
17,203.597,1.02999,1.53991,1.27971,0.88366,0.72241,0.81583,0.54468,1.28535,1.99097,1.4025,0.000600902,0.000600902,0.000600902
18,214.742,1.04865,1.40943,1.27136,0.83256,0.72823,0.81051,0.54229,1.28788,1.70166,1.39332,0.000593834,0.000593834,0.000593834
19,226.318,1.09772,1.45896,1.31922,0.83256,0.72823,0.81051,0.54229,1.28788,1.70166,1.39332,0.000586765,0.000586765,0.000586765
20,237.43,1.05871,1.4008,1.26996,0.82226,0.72222,0.8169,0.55006,1.24014,1.50261,1.3826,0.000579697,0.000579697,0.000579697
21,249.564,1.09884,1.36221,1.31978,0.90194,0.71402,0.81017,0.53151,1.21707,1.38744,1.38058,0.000572628,0.000572628,0.000572628
22,260.959,1.08625,1.29842,1.26292,0.90004,0.72222,0.81669,0.55496,1.07614,1.37725,1.31908,0.000565559,0.000565559,0.000565559
23,272.114,0.93884,1.24329,1.22568,0.90004,0.72222,0.81669,0.55496,1.07614,1.37725,1.31908,0.000558491,0.000558491,0.000558491
24,283.444,1.0241,1.26714,1.23534,0.85882,0.83477,0.85857,0.57694,1.03546,1.24644,1.28077,0.000551422,0.000551422,0.000551422
25,294.875,0.98383,1.21735,1.17383,0.88316,0.86233,0.8689,0.59884,1.01285,1.16039,1.25689,0.000544354,0.000544354,0.000544354
26,306.332,0.94268,1.13801,1.23459,0.90412,0.86622,0.88841,0.621,0.99816,1.08091,1.28245,0.000537285,0.000537285,0.000537285
27,318.453,0.97438,1.18697,1.20047,0.90412,0.86622,0.88841,0.621,0.99816,1.08091,1.28245,0.000530216,0.000530216,0.000530216
28,330.011,0.91421,1.12203,1.19712,0.90032,0.84413,0.89115,0.61672,1.04374,1.08874,1.31974,0.000523148,0.000523148,0.000523148
29,341.443,0.96901,1.16253,1.20554,0.9274,0.8402,0.89115,0.6385,1.03599,1.14795,1.31717,0.000516079,0.000516079,0.000516079
30,353.168,0.89906,1.0898,1.19786,0.79343,0.86019,0.8956,0.65158,1.03919,1.09417,1.30073,0.000509011,0.000509011,0.000509011
31,364.272,0.93434,1.02565,1.16446,0.79343,0.86019,0.8956,0.65158,1.03919,1.09417,1.30073,0.000501942,0.000501942,0.000501942
32,375.81,0.90784,1.06686,1.14871,0.91825,0.86865,0.89876,0.64451,1.07557,1.04522,1.30513,0.000494873,0.000494873,0.000494873
33,387.127,0.9261,1.03997,1.1751,0.96766,0.86804,0.89757,0.66482,1.05114,0.99224,1.2931,0.000487805,0.000487805,0.000487805
34,398.652,0.93298,1.02498,1.19475,0.96162,0.85786,0.8956,0.65911,0.97642,0.99177,1.24495,0.000480736,0.000480736,0.000480736
35,413.11,0.87408,1.04952,1.15406,0.96162,0.85786,0.8956,0.65911,0.97642,0.99177,1.24495,0.000473668,0.000473668,0.000473668
36,426.02,0.95282,1.06623,1.19973,0.94493,0.85037,0.8966,0.64986,0.98348,1.02559,1.2396,0.000466599,0.000466599,0.000466599
37,438.645,0.88098,0.9888,1.1433,0.94876,0.84805,0.91981,0.66666,0.97253,0.99435,1.21484,0.00045953,0.00045953,0.00045953
38,450.664,0.91927,0.97237,1.14326,0.79261,0.98864,0.93824,0.68329,1.01982,0.95245,1.23416,0.000452462,0.000452462,0.000452462
39,462.907,0.91039,1.02092,1.16458,0.79261,0.98864,0.93824,0.68329,1.01982,0.95245,1.23416,0.000445393,0.000445393,0.000445393
40,474.906,0.89834,0.95326,1.16227,0.78139,0.98616,0.93824,0.67687,1.04119,0.96212,1.25157,0.000438325,0.000438325,0.000438325
41,486.688,0.85286,0.96061,1.1374,0.76431,0.98279,0.93824,0.67563,1.03928,0.95896,1.23967,0.000431256,0.000431256,0.000431256
42,498.698,0.90187,0.9654,1.14471,0.7496,0.97283,0.93824,0.67237,1.03929,0.9713,1.23116,0.000424187,0.000424187,0.000424187
43,512.425,0.92599,1.00385,1.17395,0.7496,0.97283,0.93824,0.67237,1.03929,0.9713,1.23116,0.000417119,0.000417119,0.000417119
44,524.982,0.83652,0.93276,1.11141,0.74984,0.96223,0.93824,0.65716,1.06328,0.99204,1.2434,0.00041005,0.00041005,0.00041005
45,536.807,0.83497,0.89675,1.14417,0.91804,0.85127,0.91766,0.64992,1.06437,0.98265,1.23336,0.000402982,0.000402982,0.000402982
46,548.637,0.81418,0.89717,1.10684,0.96027,0.84564,0.91505,0.63065,1.08531,0.97826,1.25005,0.000395913,0.000395913,0.000395913
47,560.395,0.81205,0.92849,1.10912,0.96027,0.84564,0.91505,0.63065,1.08531,0.97826,1.25005,0.000388844,0.000388844,0.000388844
48,572.062,0.87041,0.93712,1.11014,0.98154,0.84809,0.93094,0.65186,1.07264,0.97611,1.26013,0.000381776,0.000381776,0.000381776
49,584.636,0.81849,0.90096,1.10814,0.93173,0.87916,0.93024,0.65971,1.03731,0.9547,1.24557,0.000374707,0.000374707,0.000374707
50,596.861,0.8547,0.93223,1.16689,0.95636,0.85974,0.93525,0.6774,1.01468,0.91012,1.23261,0.000367639,0.000367639,0.000367639
51,608.471,0.82767,0.86093,1.09812,0.95636,0.85974,0.93525,0.6774,1.01468,0.91012,1.23261,0.00036057,0.00036057,0.00036057
52,620.443,0.77601,0.84665,1.09587,0.96037,0.86685,0.93706,0.67996,1.00956,0.90052,1.22034,0.000353501,0.000353501,0.000353501
53,632.336,0.80533,0.87664,1.08555,0.94791,0.86692,0.995,0.71151,1.0157,0.90126,1.22559,0.000346433,0.000346433,0.000346433
54,644.221,0.77007,0.8122,1.07097,0.94643,0.85653,0.995,0.71363,1.02892,0.93125,1.23367,0.000339364,0.000339364,0.000339364
55,655.9,0.82246,0.84607,1.08922,0.94643,0.85653,0.995,0.71363,1.02892,0.93125,1.23367,0.000332296,0.000332296,0.000332296
56,667.616,0.75191,0.82931,1.07045,0.80218,1,0.995,0.72233,1.01539,0.96456,1.23323,0.000325227,0.000325227,0.000325227
57,679.819,0.77541,0.81116,1.04627,0.77447,1,0.99352,0.71714,0.99815,0.96401,1.22496,0.000318158,0.000318158,0.000318158
58,691.504,0.76202,0.8258,1.07749,0.96581,0.86172,0.99352,0.71778,0.99208,0.9605,1.22362,0.00031109,0.00031109,0.00031109
