epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1173,1.7176,4.10275,1.8902,0.00668,0.65278,0.03304,0.01143,1.64883,4.24291,2.05504,3.57e-05,3.57e-05,3.57e-05
2,61.2998,1.59125,3.9826,1.75627,0.00785,0.68796,0.08763,0.03961,1.33309,4.18412,1.79048,7.69849e-05,7.69849e-05,7.69849e-05
3,91.4481,1.36376,3.8919,1.60446,0.01149,0.78241,0.23127,0.10795,1.18732,4.08497,1.586,0.000116573,0.000116573,0.000116573
4,122.345,1.33462,3.69895,1.55042,0.01348,0.7963,0.30237,0.14219,1.17631,3.97023,1.47623,0.000154465,0.000154465,0.000154465
5,156.697,1.31102,3.56092,1.49495,0.01443,0.7963,0.35641,0.20512,1.12616,3.84819,1.37312,0.000190661,0.000190661,0.000190661
6,187.904,1.1785,3.30117,1.38847,0.01502,0.7963,0.38337,0.24021,1.06091,3.71749,1.29549,0.00022516,0.00022516,0.00022516
7,218.16,1.15617,3.03489,1.3427,0.88889,0.08548,0.37706,0.25164,1.10219,3.39937,1.27549,0.000257962,0.000257962,0.000257962
8,249.206,1.16804,2.71324,1.36746,0.86833,0.18361,0.38108,0.25552,1.11105,3.18159,1.29821,0.000289069,0.000289069,0.000289069
9,279.622,1.16237,2.40718,1.36067,0.84647,0.363,0.48352,0.32808,1.12754,2.90442,1.37196,0.000318478,0.000318478,0.000318478
10,310.628,1.17287,2.31324,1.38241,0.88524,0.43399,0.74268,0.50031,1.16384,2.33201,1.3976,0.000346191,0.000346191,0.000346191
11,341.373,1.16091,2.03526,1.32892,0.79181,0.51391,0.7778,0.52996,1.14516,2.06099,1.32655,0.000372208,0.000372208,0.000372208
12,372.775,1.13725,1.80526,1.34504,0.82106,0.62488,0.79681,0.55759,1.15513,1.84431,1.30753,0.000396528,0.000396528,0.000396528
13,403.224,1.11214,1.80704,1.31105,0.89676,0.71675,0.81456,0.56733,1.17888,1.72376,1.32932,0.000419152,0.000419152,0.000419152
14,434.839,1.10942,1.74335,1.33064,0.87998,0.72364,0.81386,0.55731,1.23292,1.74216,1.36724,0.00044008,0.00044008,0.00044008
15,464.64,1.07821,1.67102,1.29039,0.87998,0.72364,0.81386,0.55731,1.23292,1.74216,1.36724,0.00045931,0.00045931,0.00045931
16,493.247,1.09012,1.61331,1.31484,0.86554,0.74239,0.83237,0.57185,1.22506,1.76095,1.36181,0.000476845,0.000476845,0.000476845
17,523.847,1.01801,1.63117,1.27813,0.90704,0.73364,0.83461,0.55949,1.20166,1.73594,1.35134,0.000487805,0.000487805,0.000487805
18,554.751,1.05897,1.49908,1.26842,0.89375,0.78645,0.82625,0.56799,1.19299,1.65615,1.34891,0.000473668,0.000473668,0.000473668
19,584.649,1.07539,1.48327,1.29883,0.89375,0.78645,0.82625,0.56799,1.19299,1.65615,1.34891,0.00045953,0.00045953,0.00045953
20,616.198,1.03049,1.40568,1.25773,0.91809,0.80479,0.83639,0.56477,1.21908,1.4972,1.35771,0.000445393,0.000445393,0.000445393
21,647.898,1.08021,1.39752,1.30868,0.9065,0.79608,0.84047,0.57226,1.18097,1.36179,1.33987,0.000431256,0.000431256,0.000431256
22,680.699,1.04764,1.31053,1.2436,0.87915,0.80093,0.82964,0.59073,1.13238,1.23994,1.31637,0.000417119,0.000417119,0.000417119
23,712.949,0.94169,1.26008,1.23394,0.87915,0.80093,0.82964,0.59073,1.13238,1.23994,1.31637,0.000402982,0.000402982,0.000402982
24,744.132,0.98563,1.2898,1.21257,0.93837,0.79377,0.86318,0.59049,1.0935,1.19315,1.2855,0.000388844,0.000388844,0.000388844
25,778.397,0.99019,1.2308,1.17333,0.90629,0.824,0.88663,0.59543,1.08445,1.15988,1.27727,0.000374707,0.000374707,0.000374707
26,807.958,0.96247,1.16029,1.24079,0.74405,0.86216,0.88737,0.61491,1.03223,1.12194,1.2468,0.00036057,0.00036057,0.00036057
27,837.242,0.93904,1.22364,1.18248,0.74405,0.86216,0.88737,0.61491,1.03223,1.12194,1.2468,0.000346433,0.000346433,0.000346433
28,872.278,0.8927,1.1348,1.18176,0.71546,0.875,0.89579,0.63389,1.01678,1.0898,1.2434,0.000332296,0.000332296,0.000332296
29,905.052,0.95108,1.1511,1.2024,0.75755,0.875,0.89452,0.64299,1.03704,1.08492,1.2553,0.000318158,0.000318158,0.000318158
30,937.476,0.8985,1.10351,1.18979,0.80897,0.85951,0.89314,0.64143,1.02988,1.09333,1.24431,0.000304021,0.000304021,0.000304021
31,969.797,0.94294,1.0907,1.17062,0.80897,0.85951,0.89314,0.64143,1.02988,1.09333,1.24431,0.000289884,0.000289884,0.000289884
32,1002.55,0.93157,1.08459,1.14474,0.93962,0.83248,0.89314,0.65065,1.03504,1.0782,1.23549,0.000275747,0.000275747,0.000275747
33,1034.58,0.92072,1.07171,1.16732,0.94499,0.82594,0.90211,0.6478,1.04264,1.05636,1.22991,0.00026161,0.00026161,0.00026161
34,1066.33,0.89606,1.0835,1.17088,0.93261,0.84395,0.90292,0.66318,1.01113,1.01445,1.21597,0.000247472,0.000247472,0.000247472
35,1097.57,0.88549,1.07136,1.14701,0.93261,0.84395,0.90292,0.66318,1.01113,1.01445,1.21597,0.000233335,0.000233335,0.000233335
36,1128.18,0.88972,1.09547,1.16384,0.96761,0.83433,0.90143,0.67228,0.97054,0.97296,1.20136,0.000219198,0.000219198,0.000219198
37,1159.21,0.86429,1.01655,1.13244,0.97164,0.83338,0.90696,0.67355,0.97328,0.96639,1.20569,0.000205061,0.000205061,0.000205061
38,1191.52,0.89249,0.98947,1.12868,0.95042,0.84813,0.90696,0.66647,0.97853,0.93757,1.20417,0.000190924,0.000190924,0.000190924
39,1220.91,0.87919,1.02751,1.1504,0.95042,0.84813,0.90696,0.66647,0.97853,0.93757,1.20417,0.000176786,0.000176786,0.000176786
40,1251.84,0.902,0.99468,1.15933,0.95662,0.87048,0.90764,0.6718,0.98785,0.91135,1.20597,0.000162649,0.000162649,0.000162649
41,1281.65,0.80602,1.04953,1.14252,0.97018,0.86509,0.91863,0.67613,0.98889,0.89792,1.21134,0.000148512,0.000148512,0.000148512
42,1314.3,0.7994,1.01883,1.12148,0.96816,0.86401,0.91766,0.67363,0.99698,0.90416,1.22054,0.000134375,0.000134375,0.000134375
43,1345.07,0.83149,1.04735,1.14103,0.96816,0.86401,0.91766,0.67363,0.99698,0.90416,1.22054,0.000120238,0.000120238,0.000120238
44,1376,0.73298,0.91757,1.10006,0.95709,0.86961,0.91617,0.66693,0.99893,0.92191,1.22688,0.0001061,0.0001061,0.0001061
45,1405.09,0.7293,0.90607,1.09059,0.95186,0.87495,0.91507,0.66434,1.00542,0.94116,1.23143,9.19632e-05,9.19632e-05,9.19632e-05
46,1435.65,0.73058,0.94067,1.11602,0.94966,0.87182,0.91463,0.66949,1.00315,0.96831,1.23447,7.7826e-05,7.7826e-05,7.7826e-05
47,1467.22,0.78469,0.96195,1.16485,0.94966,0.87182,0.91463,0.66949,1.00315,0.96831,1.23447,6.36888e-05,6.36888e-05,6.36888e-05
48,1497.21,0.73458,0.90032,1.0809,0.94819,0.87388,0.91463,0.67518,1.00194,0.96437,1.23282,4.95516e-05,4.95516e-05,4.95516e-05
49,1528.19,0.73863,0.93814,1.11824,0.95105,0.875,0.91507,0.67524,1.00369,0.94416,1.22818,3.54144e-05,3.54144e-05,3.54144e-05
50,1557.71,0.73588,0.9166,1.1058,0.95658,0.875,0.91558,0.67188,1.0028,0.92502,1.22299,2.12772e-05,2.12772e-05,2.12772e-05
